cluster,bridge_age,condition_score,maintenance_priority,future_burden_ratio,aging_rate,fiscal_index,structure_category,bridge_area,emergency_route,overpass,repair_year_normalized,under_river,distance_to_coast_km
-1,49.55238095238095,2.0690476190476192,106.0904761904762,42.36991990499772,35.611219536872596,0.5662892516044267,2.3095238095238093,927.1100166666666,0.530952380952381,0.19047619047619047,0.4157287157287157,0.3595238095238095,7.181174692203448
0,48.16556291390729,1.7880794701986755,85.41721854304636,49.20595909360308,35.60208130119026,0.5839537150045564,1.9205298013245033,302.14443046357616,1.0,0.0,0.8781858318282159,1.0,10.136120605446495
1,48.066985645933016,1.7814992025518341,87.45295055821371,48.805674096164296,34.62503987930567,0.5805174245386112,1.3668261562998405,178.8408038277512,1.0,0.0,0.0005799623024503408,0.0,7.7982359773894965
2,55.45348837209303,2.104651162790698,117.68604651162791,47.2279057427958,33.534297684176394,0.5685837974350326,1.4534883720930232,239.98761627906973,1.0,0.0,0.9006342494714588,0.0,3.2487279006682828
3,45.170103092783506,1.7422680412371134,81.34149484536083,49.51975834096106,35.879365631879416,0.5816608076026826,1.6481958762886597,208.36895231958763,1.0,0.0,0.0,1.0,10.881674445765254
4,58.15492957746479,2.0422535211267605,119.14084507042253,46.15316739488932,36.026848069430315,0.5612050299675663,1.295774647887324,128.97525352112677,0.0,0.0,0.9022620571916347,1.0,9.09987034925936
5,54.292719167904906,1.8083209509658247,99.80832095096582,50.402314447134955,35.07344566947382,0.5843296097754039,1.24962852897474,62.252792273402676,0.0,0.0,0.0,0.0,8.582157818430987
6,56.048780487804876,2.4634146341463414,139.1219512195122,45.271543565099606,33.13942764409417,0.5844521038418732,1.4390243902439024,158.46958536585365,0.0,0.0,0.9297856614929787,0.0,3.4245221384795417
7,50.844954128440364,1.8009174311926606,94.23669724770642,50.366107391698016,36.00051460877927,0.5826736352927051,1.4458715596330276,111.7585452293578,0.0,0.0,0.0,1.0,11.999348182843294
8,62.666666666666664,1.0,62.666666666666664,44.61018354753763,34.49272680403726,0.5565463978304446,1.0,51.72555555555556,0.0,0.0,0.9124579124579125,0.0,1.453810499109225
9,84.26666666666667,3.0,252.8,46.56999882089376,35.10192400723738,0.5649800731045868,1.0,202.85966666666667,1.0,0.0,0.9434343434343435,1.0,12.127984392571047
10,38.94117647058823,1.411764705882353,58.588235294117645,19.4,29.702234760859454,0.45,1.8823529411764706,106.02294117647058,0.0,0.0,0.0,1.0,3.998358951435487
