train_loss,val_loss,train_mae,val_mae
7.971330165863037,5.281342029571533,5.941196918487549,5.720305442810059
7.856629371643066,5.2122602462768555,5.864710807800293,5.6399335861206055
7.771814823150635,5.126133441925049,5.774205684661865,5.545577049255371
7.664675235748291,5.002323627471924,5.645453929901123,5.409652233123779
7.508619785308838,4.8346476554870605,5.470975399017334,5.228870391845703
7.295036792755127,4.629229545593262,5.251824855804443,5.028755187988281
7.057795524597168,4.404277324676514,5.009415626525879,4.829756736755371
6.665157794952393,4.222501277923584,4.782528400421143,4.671638011932373
6.354619026184082,4.131895065307617,4.618519306182861,4.600307941436768
5.942859649658203,4.148879051208496,4.6592607498168945,4.625067710876465
5.932513236999512,4.17861270904541,4.813479900360107,4.651232719421387
5.938828945159912,4.120635986328125,4.860134124755859,4.59824275970459
5.754850387573242,3.8872525691986084,4.715442180633545,4.366830825805664
5.4887847900390625,3.5514564514160156,4.437441825866699,4.025627613067627
5.10365104675293,3.2343180179595947,4.138989448547363,3.7039239406585693
4.9701995849609375,2.975522518157959,3.8847577571868896,3.441833019256592
4.550174236297607,2.7583751678466797,3.6770548820495605,3.2283389568328857
4.478002071380615,2.5517382621765137,3.4974963665008545,3.0135459899902344
4.1434125900268555,2.3038196563720703,3.3164565563201904,2.7528975009918213
4.297008037567139,2.147791624069214,3.134660005569458,2.587779998779297
3.7695305347442627,2.0421931743621826,2.9613535404205322,2.4747097492218018
3.733978748321533,2.00321888923645,2.818862199783325,2.4277350902557373
3.605332851409912,1.974832534790039,2.6931207180023193,2.3959529399871826
3.4048867225646973,1.9385873079299927,2.6014528274536133,2.3503239154815674
3.3655381202697754,1.9180879592895508,2.5380797386169434,2.330049514770508
3.387915849685669,1.9262045621871948,2.5153305530548096,2.3343615531921387
3.2369754314422607,1.924124002456665,2.467341661453247,2.3266546726226807
3.235679864883423,1.9200438261032104,2.411600351333618,2.316833972930908
3.115767002105713,1.935058832168579,2.3562700748443604,2.322587251663208
3.009838104248047,1.9400447607040405,2.330447196960449,2.32669734954834
3.055410623550415,1.908085584640503,2.3065130710601807,2.2913978099823
3.0067386627197266,1.8818233013153076,2.3079416751861572,2.262970447540283
2.8804430961608887,1.8667398691177368,2.294318199157715,2.2395613193511963
2.951784610748291,1.8244997262954712,2.2280728816986084,2.207115650177002
2.9124228954315186,1.7914683818817139,2.1733999252319336,2.1879801750183105
2.868104934692383,1.7938040494918823,2.1730315685272217,2.1976678371429443
2.598778009414673,1.8104875087738037,2.207385301589966,2.231050729751587
2.7249386310577393,1.727915644645691,2.136082172393799,2.1475086212158203
2.7517027854919434,1.6783143281936646,2.0919606685638428,2.0929477214813232
2.743459701538086,1.689677119255066,2.088002920150757,2.1036601066589355
2.473355531692505,1.6620625257492065,2.071293592453003,2.0763328075408936
2.5981318950653076,1.6059490442276,2.0260908603668213,2.02046537399292
2.6803648471832275,1.5467380285263062,1.98898184299469,1.956270456314087
2.5475480556488037,1.4952799081802368,1.9583104848861694,1.8946127891540527
2.6861777305603027,1.454161286354065,1.926336407661438,1.8500474691390991
2.7053544521331787,1.443522572517395,1.907426118850708,1.8345767259597778
2.477653980255127,1.4338070154190063,1.9053595066070557,1.8209530115127563
2.3623898029327393,1.376551628112793,1.8661150932312012,1.7560549974441528
2.5175225734710693,1.3150430917739868,1.822348713874817,1.6906794309616089
2.5273876190185547,1.270340085029602,1.790658950805664,1.6404575109481812
2.394425630569458,1.235029697418213,1.7585915327072144,1.599778413772583
2.424692153930664,1.2139695882797241,1.7293955087661743,1.574357271194458
2.313549041748047,1.1975330114364624,1.7036044597625732,1.556577444076538
2.2521049976348877,1.1904175281524658,1.6827949285507202,1.55133855342865
2.24082088470459,1.2051208019256592,1.6877681016921997,1.565879225730896
2.411151170730591,1.2152225971221924,1.6935895681381226,1.5780597925186157
2.2287514209747314,1.2014251947402954,1.6796139478683472,1.5637221336364746
2.2349302768707275,1.15890634059906,1.6198248863220215,1.520222544670105
2.268739700317383,1.1630373001098633,1.5972267389297485,1.521738886833191
2.13326096534729,1.1694746017456055,1.5932931900024414,1.5317448377609253
2.248203992843628,1.135957956314087,1.5670298337936401,1.4963258504867554
2.2026305198669434,1.1016167402267456,1.564542531967163,1.4539440870285034
2.1958563327789307,1.1301169395446777,1.637410283088684,1.4838062524795532
2.1313865184783936,1.089152455329895,1.6077699661254883,1.4418944120407104
2.295259714126587,0.9865210652351379,1.4866684675216675,1.3326282501220703
2.204306125640869,0.9652129411697388,1.4799686670303345,1.3230650424957275
1.919089913368225,0.9119462966918945,1.4446783065795898,1.2577303647994995
