Unnamed: 0,施設分類,管理事務所名,管理先電話番号,緯度,経度,施設名,施設名カナ,路線種別,路線名,所在地,橋梁の種類,架設年（西暦）,橋長（m）,幅員（m）,離島架橋,長大橋,特殊橋,重要物流道路,緊急輸送道路,跨線橋,跨道橋,その他,最新点検年度,健全度Ⅰ,健全度Ⅱ,健全度Ⅲ,健全度Ⅳ,2023年点検,2024年点検,2025年点検,2026年点検,2027年点検,最新補修年度,2023年補修,2024年補修,2025年補修,2026年補修,2027年補修,対策内容,橋梁管理カルテ,橋梁管理カルテURL,geometry,bridge_id,node_type,dist_to_river,dist_to_coast,betweenness,num_buildings,num_public_facilities,num_hospitals,num_schools,num_bus_stops,num_street_connections,importance_score_base,public_access_score,traffic_proxy_score,importance_score,importance_rank,importance_category,narrative
83-01-002140,橋梁,防府土木建築事務所,0835-22-3485,34.15963,131.44612,京面橋,ｷｮｳﾒﾝﾊﾞｼ,一般県道,宮野大歳線,山口市吉敷下東,PC床版橋,1966,25.5,18.4,,,,,○,,,,2020,,○,,,,,○,,,,,,,,,,,,POINT (14632515.145151535 4050256.6281502875),BR_0490,bridge,11.211013162331977,15690.44825409281,0.2539700823565217,0,0,0,0,0,2,100.0,0.0,100.0,80.0,1,high,【高重要度】高い重要度を持つ橋梁です（ランク1位、スコア80.0）。 この橋梁は、多数の交通経路が通過する重要な結節点であり、通行不能になると広範囲に影響が及びます。 河川を跨いでおり、洪水時の通行不能が広域の分断を引き起こす可能性があります。
83-01-002009,橋梁,防府土木建築事務所,0835-22-3485,34.2092,131.51509,七房橋,ｼﾁﾎﾞｳﾊｼ,一般県道,宮野上佐々並線,山口市宮野上,RC床版橋,1963,4.4,8.5,,,,,,,,○,2019,,○,,,,○,,,,,,,,,,,,,POINT (14640192.850431543 4056927.1847926616),BR_0359,bridge,3.057289183548004,23478.340018332747,0.15489887578275585,0,0,0,0,0,2,60.99099324829518,0.0,100.0,56.59459594897711,2,medium,【中程度の重要度】中程度の重要度を持つ橋梁です（ランク2位、スコア56.6）。 この橋梁は、多数の交通経路が通過する重要な結節点であり、通行不能になると広範囲に影響が及びます。 河川を跨いでおり、洪水時の通行不能が広域の分断を引き起こす可能性があります。
83-01-001889,橋梁,防府土木建築事務所,0835-22-3485,34.1645,131.44318,吉敷1号B橋,ﾖｼｷ1ｺﾞｳBﾊｼ,一般国道,４３５号,山口市吉敷,PCボックス,不明,2.0,30.7,,,,,○,,,,2022,○,,,,,,,,○,,,,,,,,83-01-001889,https://bridge-karte.yamaguchi-infradb.jp/bridge-karte-20230630/83-01-001889_橋梁管理カルテ【吉敷1号B橋】.pdf,POINT (14632187.865848603 4050911.8027883815),BR_0239,bridge,479.2519420736858,16188.448976535776,0.14832916785790043,0,0,0,0,0,2,58.40418937600565,0.0,100.0,55.042513625603384,3,medium,【中程度の重要度】中程度の重要度を持つ橋梁です（ランク3位、スコア55.0）。 この橋梁は、多数の交通経路が通過する重要な結節点であり、通行不能になると広範囲に影響が及びます。
83-01-001887,橋梁,防府土木建築事務所,0835-22-3485,34.1891,131.43107,吉敷2号B橋,ﾖｼｷ2ｺﾞｳBﾊｼ,一般国道,４３５号,山口市吉敷,PCボックス,不明,3.0,20.1,,,,,○,,,,2021,○,,,,,,,○,,,,,,,,,83-01-001887,https://bridge-karte.yamaguchi-infradb.jp/bridge-karte-20230131/83-01-001887_橋梁管理カルテ【吉敷2号B橋】.pdf,POINT (14630839.786815094 4054221.88702814),BR_0237,bridge,167.6110819100392,18999.80858234227,0.14243975431380324,0,0,0,0,0,2,56.08524948771216,0.0,100.0,53.65114969262729,4,medium,【中程度の重要度】中程度の重要度を持つ橋梁です（ランク4位、スコア53.7）。 この橋梁は、多数の交通経路が通過する重要な結節点であり、通行不能になると広範囲に影響が及びます。
83-01-001874,橋梁,防府土木建築事務所,0835-22-3485,34.21317,131.5307,仁保地橋,ﾆﾎｼﾞﾊｼ,一般国道,３７６号,山口市宮野上,RC床版橋,1969,3.8,10.1,,,,,○,,,,2019,○,,,,○,,,,,,,,,,,,,,POINT (14641930.54768283 4057461.591039964),BR_0224,bridge,80.20728910665109,24385.76134333615,0.14154019606938975,0,0,0,0,0,2,55.73105097894817,0.0,100.0,53.4386305873689,5,medium,【中程度の重要度】中程度の重要度を持つ橋梁です（ランク5位、スコア53.4）。 この橋梁は、多数の交通経路が通過する重要な結節点であり、通行不能になると広範囲に影響が及びます。 河川に近接しており、洪水リスクに留意が必要です。
83-01-002085,橋梁,防府土木建築事務所,0835-22-3485,34.09726,131.40226,昭和通り2号橋,ｼｮｳﾜﾄﾞｵﾘ2ｺﾞｳｷｮｳ,一般県道,江崎陶線,山口市小郡下郷,RC床版橋,1928,3.2,12.7,,,,,,,,○,2019,,○,,,,○,,,,,,,,,,,,,POINT (14627632.672285343 4041869.156387209),BR_0435,bridge,528.7932811735013,6261.038570220682,0.13970508895057687,0,0,0,0,0,2,55.00848275288571,0.0,100.0,53.005089651731424,6,medium,【中程度の重要度】中程度の重要度を持つ橋梁です（ランク6位、スコア53.0）。 この橋梁は、多数の交通経路が通過する重要な結節点であり、通行不能になると広範囲に影響が及びます。
83-01-001894,橋梁,防府土木建築事務所,0835-22-3485,34.19653,131.4173,吉敷畑1号B橋,ﾖｼｷﾊﾀ1ｺﾞｳBﾊｼ,一般国道,４３５号,山口市吉敷,PC床版橋,不明,2.3,50.1,,,,,○,,,,2021,○,,,,,,,○,,,,,,,,,83-01-001894,https://bridge-karte.yamaguchi-infradb.jp/bridge-karte-20230131/83-01-001894_橋梁管理カルテ【吉敷畑1号B橋】.pdf,POINT (14629306.917426871 4055221.829920809),BR_0244,bridge,513.9421385719598,19717.08809141504,0.13950244856175817,0,0,0,0,0,2,54.92869367421217,0.0,100.0,52.9572162045273,7,medium,【中程度の重要度】中程度の重要度を持つ橋梁です（ランク7位、スコア53.0）。 この橋梁は、多数の交通経路が通過する重要な結節点であり、通行不能になると広範囲に影響が及びます。
83-01-002419,橋梁,防府土木建築事務所,0835-22-3485,34.35908,131.66252,第三岡橋,ﾀﾞｲｻﾝｵｶﾊｼ,一般県道,篠目徳佐下線,山口市阿東地福,ボックスカルバート,1952,2.2,8.0,,,,,,,,○,2016,○,,,,○,,,,,,,,,,,,,,POINT (14656604.682959197 4077120.211839595),BR_0738,bridge,635.6997122198779,28145.635635189712,0.13884082965203678,0,0,0,0,0,2,54.6681831039976,0.0,100.0,52.800909862398555,8,medium,【中程度の重要度】中程度の重要度を持つ橋梁です（ランク8位、スコア52.8）。 この橋梁は、多数の交通経路が通過する重要な結節点であり、通行不能になると広範囲に影響が及びます。
83-01-001878,橋梁,防府土木建築事務所,0835-22-3485,34.21412,131.54662,仁保市橋側道橋,ﾆﾎｲﾁﾊｼｿｸﾄﾞｳｷｮｳ,一般国道,３７６号,山口市仁保下郷,PCT桁橋,1979,13.7,3.0,,,,,○,,,,2019,○,,,,○,,,,,,,,,,,,,,POINT (14643702.753976258 4057589.4753612424),BR_0228,bridge,14.014758673012514,24315.281457509813,0.1291543931163597,0,0,0,0,0,2,50.85417617617399,0.0,100.0,50.5125057057044,9,medium,【中程度の重要度】中程度の重要度を持つ橋梁です（ランク9位、スコア50.5）。 この橋梁は、多数の交通経路が通過する重要な結節点であり、通行不能になると広範囲に影響が及びます。 河川を跨いでおり、洪水時の通行不能が広域の分断を引き起こす可能性があります。
83-01-002034,橋梁,防府土木建築事務所,0835-22-3485,34.17017,131.45632,朝倉橋,ｱｻｸﾗﾊｼ,一般県道,陶湯田線,山口市湯田温泉,PC床版橋,1998,7.4,16.8,,,,,,,,○,2019,○,,,,,○,,,,,,,,,,,,,POINT (14633650.603957627 4051674.6512706107),BR_0384,bridge,525.5849456096146,17434.94355690559,0.11965581798563142,0,0,0,0,0,2,47.11413914401906,0.0,100.0,48.26848348641144,10,low,【低重要度】比較的重要度が低い橋梁です（ランク10位、スコア48.3）。 この橋梁は、多数の交通経路が通過する重要な結節点であり、通行不能になると広範囲に影響が及びます。
