experiment,r2,mae,rmse,top20_recall,best_epoch,best_time_sec,total_epochs,total_time_sec,peak_gpu_memory_mb,delta_r2_vs_exp1,delta_mae_vs_exp1,delta_rmse_vs_exp1,delta_top20_recall_vs_exp1
Exp-4_lite_knn3_noedgeattr_quantile_weak,0.3515966534614563,3.134737253189087,6.020313526493068,0.7,181.0,7.5671391999931075,231.0,8.884638699993957,248.99951171875,0.1437819600105286,-0.19018745422363326,-0.6341011540938686,0.04999999999999993
Exp-2_knn3,0.2977035045623779,3.077269554138184,6.26551419205322,0.7,172.0,9.336820799988343,222.0,10.7690591999999,248.87890625,0.08988881111145017,-0.24765515327453613,-0.38890048853371617,0.04999999999999993
Exp-3_knn3_edge_attr_s300,0.2106513381004333,3.2044405937194824,6.642489972492843,0.7,140.0,6.255019999996875,190.0,7.8703057000093395,293.34375,0.0028366446495055875,-0.12048411369323775,-0.011924708094093184,0.04999999999999993
Exp-4_exp3_s500_quantile_weak,0.3235873579978943,3.0926554203033447,6.148969188613611,0.65,183.0,9.182579600004829,233.0,10.687717600012547,293.353515625,0.11577266454696658,-0.23226928710937544,-0.5054454919733251,0.0
Exp-1_baseline_graph,0.2078146934509277,3.32492470741272,6.654414680586936,0.65,208.0,8.007772400000249,258.0,9.329432900005486,244.3154296875,0.0,0.0,0.0,0.0
Exp-3_knn3_edge_attr,0.1977810859680175,3.2906289100646973,6.696423717678672,0.65,153.0,7.213812700007111,203.0,8.654090100011672,293.34375,-0.010033607482910212,-0.034295797348022905,0.04200903709173609,0.0
Exp-3_knn3_edge_attr_s500,0.2848562598228454,3.1835148334503174,6.322562478549818,0.6,196.0,8.149380699993344,246.0,9.59655699999712,293.34375,0.0770415663719177,-0.1414098739624028,-0.3318522020371182,-0.050000000000000044
Exp-4_exp3_plus_quantile_weight,0.1427173018455505,3.480114698410034,6.9224288408859005,0.5,75.0,4.82041620000382,125.0,6.536585699999705,293.353515625,-0.0650973916053772,0.155189990997314,0.2680141602989643,-0.15000000000000002
