train_loss,val_loss,train_mae,val_mae
7.849060535430908,5.144630432128906,5.789815425872803,5.564489841461182
7.684144973754883,4.994251251220703,5.6319427490234375,5.401580333709717
7.481404781341553,4.793770790100098,5.42177152633667,5.187526702880859
7.195040702819824,4.547116756439209,5.15525484085083,4.960127830505371
6.834280967712402,4.291919708251953,4.878300189971924,4.731666564941406
6.366096019744873,4.1285400390625,4.648185729980469,4.5911865234375
6.027162075042725,4.113087177276611,4.705995082855225,4.588294506072998
5.954985618591309,4.150720119476318,4.917701244354248,4.635047912597656
6.012639999389648,3.9643990993499756,4.8705620765686035,4.444329738616943
5.923338890075684,3.625788927078247,4.577221870422363,4.102938175201416
5.482658863067627,3.3153774738311768,4.234520435333252,3.7841320037841797
5.0767741203308105,3.0969338417053223,3.9666476249694824,3.569472074508667
4.7974534034729,2.9107141494750977,3.76517391204834,3.3722422122955322
4.658100605010986,2.6878325939178467,3.5854203701019287,3.1351871490478516
4.4769511222839355,2.4409356117248535,3.399287700653076,2.8753161430358887
4.107946395874023,2.250828266143799,3.2032525539398193,2.6836421489715576
3.9210596084594727,2.1091907024383545,3.0567400455474854,2.53159236907959
3.8602871894836426,2.096208095550537,2.954688787460327,2.522228240966797
3.8390843868255615,2.0412776470184326,2.839756727218628,2.4636497497558594
3.5360617637634277,1.9807757139205933,2.7325477600097656,2.3984506130218506
3.594022512435913,1.9332971572875977,2.650108575820923,2.3459362983703613
3.117140293121338,1.9222157001495361,2.6023943424224854,2.323465347290039
3.1567184925079346,1.9116425514221191,2.554304361343384,2.3070271015167236
3.0930731296539307,1.8909138441085815,2.4873785972595215,2.284834861755371
3.08056902885437,1.8619418144226074,2.4104645252227783,2.246856212615967
3.198122024536133,1.8556076288223267,2.359738826751709,2.2383556365966797
2.8251678943634033,1.89315927028656,2.3304250240325928,2.2820422649383545
3.0299572944641113,1.85567307472229,2.2861380577087402,2.2395200729370117
2.9675862789154053,1.7569332122802734,2.2092394828796387,2.1349740028381348
2.8759284019470215,1.6765739917755127,2.159449338912964,2.044508934020996
2.8252456188201904,1.6548227071762085,2.15608549118042,2.0308151245117188
2.843554973602295,1.6128185987472534,2.110726833343506,1.9947381019592285
2.8141770362854004,1.5457744598388672,2.0457475185394287,1.9525507688522339
2.781987428665161,1.5087007284164429,2.0245227813720703,1.9241917133331299
2.696092367172241,1.468281626701355,1.995162010192871,1.8834726810455322
2.5775506496429443,1.437911033630371,1.9742037057876587,1.8477128744125366
2.495551586151123,1.373208999633789,1.9250537157058716,1.7830026149749756
